name,ats,slug,career_url,hq,region,industry,priority,visa_sponsor,writer_frequency,avg_salary_usd,remote,notes
GitHub,google,,https://github.com/about/careers,San Francisco,US,DevTools,5,yes,high,140000-200000,hybrid,Developer platform
Docker,google,,https://www.docker.com/careers,Palo Alto,US,DevTools,4,yes,medium,120000-170000,yes,Container platform
Atlassian,lever,atlassian,https://www.atlassian.com/company/careers,Sydney,Remote,DevTools,4,yes,high,110000-170000,yes,Large docs team
JetBrains,google,,https://www.jetbrains.com/careers,Prague,EU,DevTools,4,yes,medium,60000-100000,hybrid,EU developer tools
HashiCorp,google,,https://www.hashicorp.com/careers,San Francisco,US,DevTools,4,yes,medium,130000-180000,yes,Infra tools - docs heavy
Snyk,google,,https://snyk.io/careers,London,EU,Security,4,yes,medium,90000-140000,hybrid,Developer security - EU
Datadog,greenhouse,datadog,https://careers.datadoghq.com,New York,US,Observability,4,yes,high,130000-190000,hybrid,Monitoring platform
Elastic,greenhouse,elastic,https://www.elastic.co/careers,Amsterdam,EU,Search,4,yes,medium,90000-150000,yes,EU-based - open source docs
MongoDB,greenhouse,mongodb,https://www.mongodb.com/careers,New York,US,Database,5,yes,high,130000-180000,hybrid,Strong docs team - developer docs
Grafana Labs,greenhouse,grafanalabs,https://grafana.com/about/careers,New York,Remote,Observability,4,yes,medium,110000-160000,yes,Open source - remote first
Confluent,google,,https://www.confluent.io/careers,Mountain View,US,Data,4,yes,medium,130000-180000,hybrid,Data streaming platform
Supabase,google,,https://supabase.com/careers,Singapore,Remote,Database,5,yes,medium,120000-170000,yes,Open source - great docs
Kong,google,,https://konghq.com/careers,San Francisco,US,API,5,yes,medium,120000-170000,yes,API gateway - domain match
Temporal,google,,https://temporal.io/careers,Seattle,US,DevTools,4,yes,low,140000-190000,yes,Workflow engine
Prisma,greenhouse,prisma,https://www.prisma.io/careers,Berlin,EU,DevTools,4,yes,low,70000-110000,yes,EU - ORM/database tools
LaunchDarkly,greenhouse,launchdarkly,https://launchdarkly.com/careers,Oakland,US,DevTools,3,yes,low,120000-170000,yes,Feature flags
Deno,google,,https://deno.com/careers,New York,Remote,DevTools,3,yes,low,120000-170000,yes,JS runtime
Fermyon,google,,https://www.fermyon.com/careers,Austin,US,DevTools,3,yes,low,120000-170000,yes,WebAssembly
Amazon AWS,google,,https://www.amazon.jobs/en/teams/amazon-web-services,Seattle,US,Cloud,5,yes,high,130000-190000,hybrid,Massive docs team
Microsoft,google,,https://careers.microsoft.com,Redmond,US,Cloud,5,yes,high,130000-200000,hybrid,Large docs org - learn.microsoft.com
Google Cloud,google,,https://careers.google.com,Mountain View,US,Cloud,5,yes,high,140000-210000,hybrid,Cloud docs
Apple,google,,https://jobs.apple.com,Cupertino,US,Consumer Tech,4,yes,high,140000-200000,no,Developer docs
Snowflake,google,,https://careers.snowflake.com,Bozeman,US,Data,4,yes,medium,130000-190000,hybrid,Data platform
Render,google,,https://render.com/careers,San Francisco,US,Cloud,3,yes,low,130000-180000,yes,Cloud platform
Netlify,greenhouse,netlify,https://www.netlify.com/careers,San Francisco,US,Cloud,3,yes,low,120000-170000,yes,Web deployment
Spotify,lever,spotify,https://www.lifeatspotify.com/jobs,Stockholm,EU,Entertainment,4,yes,medium,80000-130000,hybrid,EU tech - large eng org
Klarna,google,,https://www.klarna.com/careers,Stockholm,EU,Fintech,3,yes,medium,70000-120000,hybrid,EU fintech
Wise,google,,https://www.wise.com/careers,London,EU,Fintech,4,yes,medium,70000-120000,hybrid,EU fintech - API products
Revolut,google,,https://www.revolut.com/careers,London,EU,Fintech,3,yes,medium,70000-120000,hybrid,EU fintech
N26,greenhouse,n26,https://n26.com/en/careers,Berlin,EU,Fintech,3,yes,low,60000-100000,hybrid,EU fintech
Contentful,greenhouse,contentful,https://www.contentful.com/careers,Berlin,EU,CMS,4,yes,medium,70000-110000,hybrid,EU - headless CMS - API docs
SAP,google,,https://jobs.sap.com,Walldorf,EU,Enterprise,3,yes,high,70000-120000,hybrid,Large EU tech
Booking.com,google,,https://jobs.booking.com,Amsterdam,EU,Travel,3,yes,medium,70000-120000,hybrid,EU tech
Adyen,greenhouse,adyen,https://careers.adyen.com,Amsterdam,EU,Fintech,4,yes,medium,70000-120000,hybrid,EU payments - API docs
Miro,google,,https://miro.com/careers,Amsterdam,EU,Collaboration,3,yes,medium,70000-120000,hybrid,EU - collaboration tools
Slack (Salesforce),google,,https://careers.salesforce.com,San Francisco,US,Communication,4,yes,high,130000-190000,hybrid,API platform
Plaid,lever,plaid,https://plaid.com/careers,San Francisco,US,Fintech,4,yes,medium,140000-190000,hybrid,Financial API - docs focused
Block (Square),greenhouse,block,https://block.xyz/careers,San Francisco,US,Fintech,4,yes,medium,130000-190000,hybrid,Payment APIs
Brex,greenhouse,brex,https://www.brex.com/careers,San Francisco,US,Fintech,3,yes,low,140000-190000,hybrid,Fintech
CrowdStrike,google,,https://www.crowdstrike.com/careers,Austin,US,Security,4,yes,medium,120000-170000,hybrid,Security platform
1Password,google,,https://1password.com/careers,Toronto,Remote,Security,4,yes,medium,110000-160000,yes,Remote-first security
Red Hat,google,,https://www.redhat.com/en/jobs,Raleigh,Remote,Open Source,4,yes,high,100000-150000,yes,Open source - large docs team
Canonical,greenhouse,canonical,https://canonical.com/careers,London,Remote,Open Source,4,yes,medium,70000-120000,yes,Ubuntu - remote global
Grammarly,google,,https://www.grammarly.com/careers,San Francisco,US,AI/Writing,4,yes,medium,130000-180000,hybrid,AI writing - relevant domain
Writer (AI),google,,https://writer.com/careers,San Francisco,US,AI/Writing,4,yes,low,130000-180000,yes,Enterprise AI writing
Jasper AI,google,,https://www.jasper.ai/careers,Austin,US,AI/Writing,3,yes,low,110000-160000,yes,AI content
Descript,greenhouse,descript,https://www.descript.com/careers,San Francisco,US,AI/Media,3,yes,low,120000-170000,hybrid,AI video/audio
Siemens,google,,https://jobs.siemens.com,Munich,EU,Industrial Tech,3,yes,high,70000-120000,hybrid,EU enterprise - large docs org
Deutsche Telekom,google,,https://www.telekom.com/en/careers,Bonn,EU,Telecom,3,yes,medium,65000-110000,hybrid,Major EU telecom
Software AG,google,,https://www.softwareag.com/en_corporate/company/careers.html,Darmstadt,EU,Enterprise Software,3,yes,medium,65000-110000,hybrid,EU enterprise integration
TeamViewer,google,,https://www.teamviewer.com/en/careers,Göppingen,EU,Remote Access,3,yes,low,60000-100000,hybrid,Remote connectivity - API docs
Zalando,greenhouse,zalando,https://jobs.zalando.com,Berlin,EU,E-commerce,3,yes,medium,65000-110000,hybrid,EU e-commerce tech
Delivery Hero,greenhouse,deliveryhero,https://careers.deliveryhero.com,Berlin,EU,Delivery Tech,3,yes,medium,65000-110000,hybrid,EU delivery platform
Personio,greenhouse,personio,https://www.personio.com/about-personio/careers,Munich,EU,HR Tech,4,yes,medium,70000-115000,hybrid,EU HR SaaS - API docs
Celonis,google,,https://www.celonis.com/careers,Munich,EU,Process Mining,4,yes,medium,75000-120000,hybrid,EU AI/data - process mining
commercetools,greenhouse,commercetools,https://commercetools.com/careers,Munich,EU,Commerce,4,yes,medium,70000-115000,hybrid,EU headless commerce - API docs
Camunda,google,,https://camunda.com/careers,Berlin,EU,Process Automation,4,yes,medium,65000-110000,hybrid,EU workflow/process - developer docs
SumUp,google,,https://www.sumup.com/careers,Berlin,EU,Fintech,3,yes,low,60000-100000,hybrid,EU payments tech
Trade Republic,google,,https://traderepublic.com/careers,Berlin,EU,Fintech,3,yes,low,65000-105000,hybrid,EU fintech - growing
GetYourGuide,google,,https://careers.getyourguide.com,Berlin,EU,Travel Tech,3,yes,medium,65000-110000,hybrid,EU travel platform
Mambu,google,,https://www.mambu.com/careers,Berlin,EU,Banking Platform,4,yes,medium,65000-110000,hybrid,EU cloud banking - API docs
Solarisbank,google,,https://www.solarisgroup.com/en/careers,Berlin,EU,Banking-as-a-Service,4,yes,medium,65000-105000,hybrid,EU BaaS - API docs
Adjust,google,,https://www.adjust.com/company/careers,Berlin,EU,Mobile Analytics,3,yes,low,60000-100000,hybrid,EU mobile analytics
Scout24,google,,https://www.scout24.com/en/career,Munich,EU,Platform,3,yes,low,65000-105000,hybrid,EU digital marketplace
FlixBus,google,,https://www.flixbus.com/careers,Munich,EU,Mobility Tech,3,yes,medium,60000-100000,hybrid,EU mobility platform
Trivago,google,,https://company.trivago.com/careers,Düsseldorf,EU,Travel Tech,3,yes,low,60000-100000,hybrid,EU travel search
ASML,google,,https://www.asml.com/en/careers,Veldhoven,EU,Semiconductor,3,yes,high,75000-130000,hybrid,EU semiconductor - technical docs
TomTom,google,,https://www.tomtom.com/careers,Amsterdam,EU,Mapping/Navigation,4,yes,medium,65000-110000,hybrid,EU mapping - API/SDK docs
Mollie,google,,https://www.mollie.com/careers,Amsterdam,EU,Payments,4,yes,medium,70000-115000,hybrid,EU payments - API docs
MessageBird,google,,https://messagebird.com/careers,Amsterdam,EU,Communication API,5,yes,medium,70000-115000,hybrid,EU comms API - direct domain match
Backbase,google,,https://www.backbase.com/careers,Amsterdam,EU,Banking Platform,4,yes,medium,65000-110000,hybrid,EU digital banking - API docs
Catawiki,google,,https://www.catawiki.com/en/jobs,Amsterdam,EU,E-commerce,3,yes,low,60000-100000,hybrid,EU online marketplace
Bynder,google,,https://www.bynder.com/en/careers,Amsterdam,EU,DAM,3,yes,low,60000-100000,hybrid,EU digital asset management
Intercom,greenhouse,intercom,https://www.intercom.com/careers,Dublin,EU,Customer Platform,5,yes,medium,80000-130000,hybrid,Ireland - API docs focus
Workday,google,,https://www.workday.com/en-us/company/careers.html,Dublin,EU,HR/Finance SaaS,4,yes,high,80000-130000,hybrid,Ireland EU HQ - large docs team
HubSpot,greenhouse,hubspot,https://www.hubspot.com/careers,Dublin,EU,Marketing/CRM,4,yes,high,75000-125000,hybrid,Ireland EU HQ - API docs
Fenergo,google,,https://www.fenergo.com/careers,Dublin,EU,Fintech,3,yes,medium,65000-110000,hybrid,Ireland fintech - API platform
Udemy,google,,https://about.udemy.com/careers,Dublin,EU,EdTech,3,yes,medium,70000-115000,hybrid,Ireland EU office
Zendesk EU,greenhouse,zendesk,https://www.zendesk.com/careers,Dublin,EU,SaaS,4,yes,medium,75000-120000,hybrid,Ireland EU HQ - developer docs
Squarespace EU,google,,https://www.squarespace.com/careers,Dublin,EU,Web Platform,3,yes,low,70000-115000,hybrid,Ireland EU HQ
Stripe EU,greenhouse,stripe,https://stripe.com/jobs,Dublin,EU,Fintech/DevTools,5,yes,high,90000-150000,hybrid,Ireland EU HQ - gold standard docs
Mastercard Tech,google,,https://careers.mastercard.com,Dublin,EU,Fintech,4,yes,high,75000-125000,hybrid,Ireland tech hub - API docs
Checkout.com,greenhouse,checkoutcom,https://www.checkout.com/careers,London,EU,Payments,4,yes,medium,80000-130000,hybrid,UK payments - API docs
Monzo,google,,https://monzo.com/careers,London,EU,Fintech,3,yes,medium,65000-110000,hybrid,UK digital bank
GoCardless,google,,https://gocardless.com/careers,London,EU,Payments,4,yes,medium,70000-115000,hybrid,UK payments - API/SDK docs
Improbable,google,,https://www.improbable.io/careers,London,EU,Metaverse/Gaming,3,yes,low,70000-120000,hybrid,UK spatial computing
Thought Machine,google,,https://www.thoughtmachine.net/careers,London,EU,Banking Tech,4,yes,medium,70000-120000,hybrid,UK cloud banking - API docs
Arm,google,,https://careers.arm.com,Cambridge,EU,Semiconductor,4,yes,high,70000-120000,hybrid,UK chip design - technical docs
Darktrace,google,,https://darktrace.com/careers,Cambridge,EU,AI/Cybersecurity,4,yes,medium,65000-110000,hybrid,UK AI security
Deliveroo,google,,https://careers.deliveroo.co.uk,London,EU,Delivery Tech,3,yes,medium,65000-110000,hybrid,UK delivery platform
FNZ,google,,https://www.fnz.com/careers,London,EU,WealthTech,3,yes,medium,65000-110000,hybrid,UK wealth platform
Criteo,google,,https://careers.criteo.com,Paris,EU,AdTech,3,yes,medium,65000-110000,hybrid,France - ad tech platform
Dassault Systèmes,google,,https://www.3ds.com/careers,Paris,EU,Enterprise Software,3,yes,high,65000-115000,hybrid,France - 3D/PLM - large docs
OVHcloud,google,,https://careers.ovhcloud.com,Roubaix,EU,Cloud,4,yes,medium,55000-95000,hybrid,France EU cloud - API docs
Doctolib,google,,https://careers.doctolib.com,Paris,EU,HealthTech,3,yes,medium,60000-100000,hybrid,France health platform
BlaBlaCar,google,,https://blog.blablacar.com/careers,Paris,EU,Mobility Tech,3,yes,low,55000-95000,hybrid,France mobility
Dataiku,greenhouse,dataiku,https://www.dataiku.com/careers,Paris,EU,AI/Data,5,yes,medium,70000-120000,hybrid,France AI/ML platform - docs focus
Algolia,google,,https://www.algolia.com/careers,Paris,EU,Search API,5,yes,medium,70000-120000,hybrid,France search API - developer docs
Nokia,google,,https://www.nokia.com/careers,Espoo,EU,Telecom/5G,3,yes,high,65000-115000,hybrid,Finland - telecom tech docs
Supercell,google,,https://supercell.com/en/careers,Helsinki,EU,Gaming,3,yes,medium,70000-120000,hybrid,Finland gaming
Wolt,google,,https://careers.wolt.com,Helsinki,EU,Delivery Tech,3,yes,medium,60000-100000,hybrid,Finland delivery - DoorDash EU
Trustpilot,google,,https://business.trustpilot.com/careers,Copenhagen,EU,Review Platform,3,yes,medium,65000-110000,hybrid,Denmark - platform
Pleo,google,,https://www.pleo.io/en/careers,Copenhagen,EU,Fintech,3,yes,medium,65000-110000,hybrid,Denmark fintech - API docs
Unity EU,google,,https://careers.unity.com,Copenhagen,EU,Gaming/3D,4,yes,medium,70000-120000,hybrid,Denmark EU office - SDK docs
Templafy,google,,https://www.templafy.com/careers,Copenhagen,EU,Enterprise SaaS,3,yes,low,60000-100000,hybrid,Denmark document automation
King (Activision),google,,https://careers.king.com,Stockholm,EU,Gaming,3,yes,medium,65000-110000,hybrid,Sweden gaming
Tink,google,,https://tink.com/careers,Stockholm,EU,Open Banking,4,yes,medium,65000-110000,hybrid,Sweden open banking - API docs
iZettle (PayPal),google,,https://www.zettle.com/careers,Stockholm,EU,Fintech,3,yes,medium,65000-110000,hybrid,Sweden payments
Bolt,google,,https://bolt.eu/en/careers,Tallinn,EU,Mobility Tech,3,yes,medium,50000-90000,hybrid,Estonia mobility super-app
Skype (Microsoft),google,,https://careers.microsoft.com,Tallinn,EU,Communication,3,yes,medium,55000-95000,hybrid,Estonia - MS comms
UiPath,google,,https://www.uipath.com/company/careers,Bucharest,EU,RPA/AI,4,yes,medium,50000-90000,hybrid,Romania - AI automation - docs focus
Revolut EU,google,,https://www.revolut.com/careers,Vilnius,EU,Fintech,3,yes,medium,50000-85000,hybrid,Lithuania EU hub
Adyen EU,greenhouse,adyen,https://careers.adyen.com,Amsterdam,EU,Payments,4,yes,medium,75000-125000,hybrid,Netherlands payments - API docs
Photoroom,google,,https://www.photoroom.com/careers,Paris,EU,AI,4,yes,low,65000-110000,hybrid,France AI image editing
Poolside AI,google,,https://www.poolside.ai/careers,Paris,EU,AI,4,yes,low,80000-140000,hybrid,France AI coding assistant
Cradle,google,,https://www.cradle.bio/careers,Amsterdam,EU,AI/Biotech,4,yes,low,65000-110000,hybrid,Netherlands AI protein design
Synthesia,google,,https://www.synthesia.io/careers,London,EU,AI,4,yes,medium,75000-125000,hybrid,UK AI video generation
PolyAI,google,,https://poly.ai/careers,London,EU,AI,4,yes,low,70000-115000,hybrid,UK conversational AI
Wayve,google,,https://wayve.ai/careers,London,EU,AI,4,yes,medium,75000-125000,hybrid,UK autonomous driving AI
Builder.ai,google,,https://www.builder.ai/careers,London,EU,AI,3,yes,low,60000-100000,hybrid,UK AI app development
DeepL AI,google,,https://www.deepl.com/careers,Cologne,EU,AI,5,yes,medium,70000-120000,hybrid,Germany AI translation - API docs
Helsing,google,,https://helsing.ai/careers,Munich,EU,AI/Defence,4,yes,low,80000-130000,hybrid,Germany AI defence
Merantix,google,,https://merantix.com/career,Berlin,EU,AI,3,yes,low,60000-100000,hybrid,Germany AI venture studio
DeepSpin,google,,https://www.deepspin.ai/careers,Munich,EU,AI/MedTech,3,yes,low,60000-100000,hybrid,Germany AI medical imaging
Silo AI,google,,https://www.silo.ai/careers,Helsinki,EU,AI,4,yes,medium,65000-110000,hybrid,Finland AI - EU focused
Corti,google,,https://www.corti.ai/careers,Copenhagen,EU,AI/HealthTech,4,yes,low,65000-110000,hybrid,Denmark AI health diagnostics
Shopify,google,,https://www.shopify.com/careers,Ottawa,Remote,E-commerce,4,yes,medium,110000-160000,yes,Large docs team - API/SDK
Twitch,greenhouse,twitch,https://www.twitch.tv/jobs,San Francisco,US,Entertainment,3,yes,medium,130000-180000,hybrid,Developer API docs
Rippling,google,,https://www.rippling.com/careers,San Francisco,US,HR Tech,3,yes,medium,130000-180000,hybrid,Growing fast
Airtable,greenhouse,airtable,https://airtable.com/careers,San Francisco,US,Productivity,3,yes,low,130000-180000,hybrid,API platform
Retool,google,,https://retool.com/careers,San Francisco,US,DevTools,4,yes,low,140000-190000,hybrid,Internal tools - API docs
Webflow,greenhouse,webflow,https://webflow.com/careers,San Francisco,US,Web/Design,3,yes,low,120000-170000,yes,Web platform
Sentry,google,,https://sentry.io/careers,San Francisco,US,DevTools,4,yes,medium,130000-180000,hybrid,Error monitoring - SDK docs match
Canva,greenhouse,canva,https://www.canva.com/careers,Sydney,AU,Design,4,yes,medium,90000-140000,hybrid,AU - large eng org
Atlassian (AU),greenhouse,atlassian,https://www.atlassian.com/company/careers,Sydney,AU,DevTools,4,yes,high,100000-160000,hybrid,AU HQ - large docs team
Xero,google,,https://www.xero.com/careers,Wellington,AU,Fintech,3,yes,medium,70000-110000,hybrid,AU/NZ accounting platform
REA Group,google,,https://www.rea-group.com/careers,Melbourne,AU,PropTech,3,yes,low,80000-120000,hybrid,AU property tech
SafetyCulture,google,,https://safetyculture.com/careers,Sydney,AU,SaaS,3,yes,low,70000-110000,hybrid,AU SaaS - growing
Culture Amp,google,,https://www.cultureamp.com/careers,Melbourne,AU,HR Tech,3,yes,low,70000-110000,yes,AU remote-friendly
Buildkite,google,,https://buildkite.com/careers,Melbourne,AU,DevTools,4,yes,low,80000-120000,yes,AU CI/CD - developer docs
Campaign Monitor,google,,https://www.campaignmonitor.com/careers,Sydney,AU,MarTech,3,yes,low,70000-110000,hybrid,AU email platform
ServiceNow,greenhouse,servicenow,https://www.servicenow.com/careers,Santa Clara,US,Enterprise,4,yes,high,130000-180000,hybrid,Large docs team
Palantir,greenhouse,palantir,https://www.palantir.com/careers,Denver,US,Data,4,yes,medium,140000-200000,no,Data platform docs
Okta,greenhouse,okta,https://www.okta.com/company/careers,San Francisco,US,Security,4,yes,medium,130000-180000,hybrid,Identity/Auth API docs
PagerDuty,greenhouse,pagerduty,https://www.pagerduty.com/careers,San Francisco,US,DevTools,4,yes,medium,120000-170000,yes,Incident management
Zscaler,google,,https://www.zscaler.com/careers,San Jose,US,Security,3,yes,medium,120000-170000,hybrid,Cloud security
Palo Alto Networks,google,,https://www.paloaltonetworks.com/company/careers,Santa Clara,US,Security,4,yes,medium,130000-190000,hybrid,Cybersecurity - API docs
Salesforce,greenhouse,salesforce,https://www.salesforce.com/careers,San Francisco,US,Enterprise,5,yes,high,130000-190000,hybrid,Massive docs org
VMware (Broadcom),google,,https://www.broadcom.com/company/careers,Palo Alto,US,Cloud,3,yes,medium,120000-170000,hybrid,Virtualization docs
Spotify (AU),lever,spotify,https://www.lifeatspotify.com/jobs,Sydney,AU,Entertainment,3,yes,medium,80000-130000,hybrid,AU office - remote possible
Zendesk,greenhouse,zendesk,https://www.zendesk.com/careers,San Francisco,US,SaaS,4,yes,medium,120000-170000,hybrid,Developer API docs
Docusign,greenhouse,docusign,https://www.docusign.com/careers,San Francisco,US,SaaS,3,yes,medium,120000-170000,hybrid,API platform
